Erntedatum;Aussaat;Anzahl Trays;Sorte;Anzahl Packungen;Anbauzeit;Geerntet in gramm;Gramm pro Tray;Packungen pro Tray;Genutzte Saat in gramm pro tray;Kosten erde pro tray;Kosten Saatgut pro tray;Preis der Saatgut;Packungen Verkauft Marktschwärmer;Erlöse bei 60 Trays mit kg Preis;kg Preis;Gesamtkosten pro Tray;Gewinn pro Tray bei Marktschwärmer
02.07.2019;16.06.2019;3;Radiesschen rot;19;16;760;253,3333333;6,333333333;45;0,3;1,566;34,8;7;344,04;30;1,866;7,634
02.07.2019;16.06.2019;2;Brokkoli;8;16;320;160;4;20;0,3;0,476;23,8;6;375,84;44;0,776;5,224
03.07.2019;16.06.2019;4;Kohlrabi rot;17;17;680;170;4,25;20;0,3;0;;8;430,8;44;0,3;6,075
03.07.2019;16.06.2019;2;Rote Bete;3;17;120;60;1,5;;0,3;0;;2;-18;;0,3;1,95
16.07.2019;05.07.2019;1;Brokkoli;4,9;11;196;196;4,9;23;0,3;0,5474;23,8;;466,596;44;0,8474;6,5026
16.07.2019;05.07.2019;1,1;Bockshornklee;7,05;11;282;256,3636364;6,409090909;40;0,3;0;;;581,8909091;39;0,3;9,313636364
16.07.2019;05.07.2019;1,5;Radieschen rot;14,65;11;586;390,6666667;9,766666667;48;0,3;1,6704;34,8;;584,976;30;1,9704;12,6796
16.07.2019;05.07.2019;3;Mizuna;14,5;11;580;193,3333333;4,833333333;20;0,3;0;;;492,4;44;0,3;6,95
23.07.2019;12.07.2019;1;Radieschen rot;14,9;11;596;596;14,9;50;0,3;1,74;34,8;;950,4;30;2,04;20,31
23.07.2019;12.07.2019;1;Sonnenblumen;13,15;11;526;526;13,15;100;0,3;1,8;18;;820,8;30;2,1;17,625
23.07.2019;12.07.2019;1;Daikon Rettich;15,3;11;612;612;15,3;50;0,3;0,82;16,4;;1034,4;30;1,12;21,83
23.07.2019;12.07.2019;1;Erbsen;2,25;11;90;90;2,25;100;0,3;1,58;15,8;;124,8;44;1,88;1,495
23.07.2019;12.07.2019;1;Brokkoli;4,45;11;178;178;4,45;24;0,3;0,5712;23,8;;417,648;44;0,8712;5,8038
23.07.2019;12.07.2019;1;Senf;11,4;11;456;456;11,4;45;0,3;0,612;13,6;;1039,68;40;0,912;16,188
30.07.2019;19.07.2019;1;Radieschen rot;12,45;11;498;498;12,45;50;0,3;1,74;34,8;;774;30;2,04;16,635
30.07.2019;19.07.2019;2;Brokkoli;10,35;11;414;207;5,175;24;0,3;0,5712;23,8;;494,208;44;0,8712;6,8913
30.07.2019;19.07.2019;1;Erbsen;3,55;11;142;142;3,55;130;0,3;2,054;15,8;;284,76;50;2,354;2,971
30.07.2019;19.07.2019;1;Sonnenblumen;19,3;11;772;772;19,3;100;0,3;1,8;18;;1263,6;30;2,1;26,85
30.07.2019;19.07.2019;1;Daikon Rettich;15,5;11;620;620;15,5;50;0,3;0,82;16,4;;1048,8;30;1,12;22,13
30.07.2019;19.07.2019;1;Senf;4,45;11;178;178;4,45;45;0,3;0,612;13,6;;372,48;40;0,912;5,763
05.08.2019;27.07.2019;1;Radieschen rot;15,85;9;634;634;15,85;50;0,3;1,74;34,8;;1018,8;30;2,04;21,735
05.08.2019;27.07.2019;2;Brokkoli;11,35;9;454;227;5,675;30;0,3;0,714;23,8;;538,44;44;1,014;7,4985
05.08.2019;27.07.2019;1;Sonnenblumen;13,95;9;558;558;13,95;110;0,3;1,98;18;;867,6;30;2,28;18,645
05.08.2019;27.07.2019;1;Daikon Rettich;15,65;9;626;626;15,65;50;0,3;0,82;16,4;;1059,6;30;1,12;22,355
05.08.2019;27.07.2019;2;Senf;17,8;9;712;356;8,9;40;0,3;0,544;13,6;;803,76;40;0,844;12,506
07.08.2019;26.07.2019;1;Erbsen;5;12;200;200;5;150;0,3;2,37;15,8;;439,8;50;2,67;4,83
13.08.2019;05.08.2019;1;Radieschen rot;15;8;600;600;15;50;0,3;1,74;34,8;;957,6;30;2,04;20,46
14.08.2019;05.08.2019;2;Brokkoli;9,2;9;368;184;4,6;30;0,3;0,714;23,8;;424,92;44;1,014;5,886
14.08.2019;05.08.2019;1;Sonnenblumen;9,7;9;388;388;9,7;110;0,3;1,98;18;;561,6;30;2,28;12,27
13.08.2019;05.08.2019;1;Daikon Rettich;17,45;8;698;698;17,45;50;0,3;0,82;16,4;;1189,2;30;1,12;25,055
13.08.2019;05.08.2019;1;Senf;7,5;8;300;300;7,5;40;0,3;0,544;13,6;;669,36;40;0,844;10,406
14.08.2019;02.08.2019;1;Erbsen;2,3;12;92;92;2,3;150;0,3;2,37;15,8;;115,8;50;2,67;0,78
28.08.2019;05.08.2019;1;Koriander;2,3;23;92;92;2,3;50;0,3;1,59;31,8;;438,6;100;1,89;5,7
20.08.2019;12.08.2019;1;Radieschen rot;9,7;8;388;388;9,7;50;0,3;1,74;34,8;;576;30;2,04;12,51
20.08.2019;12.08.2019;2;Brokkoli;12,8;8;512;256;6,4;30;0,3;0,714;23,8;;615;44;1,014;8,586
21.08.2019;12.08.2019;1;Sonnenblumen;14,15;9;566;566;14,15;110;0,3;1,98;18;;882;30;2,28;18,945
20.08.2019;12.08.2019;1;Daikon Rettich;8,45;8;338;338;8,45;50;0,3;0,82;16,4;;541,2;30;1,12;11,555
20.08.2019;12.08.2019;1;Senf;6,2;8;248;248;6,2;40;0,3;0,544;13,6;;544,56;40;0,844;8,456
21.08.2019;09.08.2019;2;Erbsen;6,85;12;274;137;3,425;150;0,3;2,37;15,8;;250,8;50;2,67;2,4675
;;;;;;;;;;;;;;;;;
27.08.2019;19.08.2019;2;Radieschen rot;28,15;8;1126;563;14,075;50;0,3;1,74;34,8;;891;30;2,04;19,0725
27.08.2019;19.08.2019;2;Brokkoli;12,55;8;502;251;6,275;30;0,3;0,714;23,8;;601,8;44;1,014;8,3985
27.08.2019;17.08.2019;2;Sonnenblumen;24,3;10;972;486;12,15;110;0,3;1,98;18;;738;30;2,28;15,945
27.08.2019;19.08.2019;1;Daikon Rettich;16,35;8;654;654;16,35;50;0,3;0,82;16,4;;1110;30;1,12;23,405
27.08.2019;19.08.2019;1;Senf;5,8;8;232;232;5,8;40;0,3;0,544;13,6;;506,16;40;0,844;7,856
28.08.2019;16.08.2019;2;Erbsen;9,15;12;366;183;4,575;150;0,3;2,37;15,8;;388,8;50;2,67;4,1925
;;;;;;;;;;;;;;;;;
04.09.2019;26.08.2019;2;Radieschen rot;15;9;600;300;7,5;50;0,3;1,74;34,8;;417,6;30;2,04;9,21
05.09.2019;28.08.2019;1;Brokkoli;5,2;8;208;208;5,2;30;0,3;0,714;23,8;;488,28;44;1,014;6,786
03.09.2019;23.08.2019;2;Sonnenblumen;23,5;11;940;470;11,75;110;0,3;1,98;18;;709,2;30;2,28;15,345
04.09.2019;26.08.2019;1;Daikon Rettich;5,45;9;218;218;5,45;50;0,3;0,82;16,4;;325,2;30;1,12;7,055
04.09.2019;28.08.2019;1;Senf;2,7;7;108;108;2,7;40;0,3;0,544;13,6;;208,56;40;0,844;3,206
04.09.2019;22.08.2019;2;Erbsen;7,8;13;312;156;3,9;150;0,3;2,37;15,8;;307,8;50;2,67;3,18
11.09.2019;26.08.2019;1;Koriander;6,1;16;122;122;6,1;50;0,3;1,59;31,8;;618,6;100;1,89;7,26
10.09.2019;02.09.2019;2;Radieschen rot;23,45;8;938;469;11,725;50;0,3;1,74;34,8;;721,8;30;2,04;15,5475
10.09.2019;02.09.2019;2;Brokkoli;11,2;8;448;224;5,6;30;0,3;0,714;23,8;;530,52;44;1,014;7,386
10.09.2019;30.08.2019;2;Sonnenblumen;18,45;11;738;369;9,225;110;0,3;1,98;18;;527,4;30;2,28;11,5575
10.09.2019;02.09.2019;1;Daikon Rettich;14,25;8;570;570;14,25;50;0,3;0,82;16,4;;958,8;30;1,12;20,255
10.09.2019;02.09.2019;1;Senf;8,85;8;354;354;8,85;40;0,3;0,544;13,6;;798,96;40;0,844;12,431
11.09.2019;29.08.2019;2;Erbsen;5,9;13;236;118;2,95;150;0,3;2,37;15,8;;193,8;50;2,67;1,755
18.09.2019;02.09.2019;1;Koriander;5,1;16;102;102;5,1;50;0,3;1,59;31,8;;498,6;100;1,89;5,76
18.09.2019;09.09.2019;3;Radieschen rot;34,75;9;1390;463,3333333;11,58333333;50;0,3;1,74;34,8;;711,6;30;2,04;15,335
18.09.2019;09.09.2019;2;Brokkoli;12,25;9;490;245;6,125;30;0,3;0,714;23,8;;585,96;44;1,014;8,1735
18.09.2019;06.09.2019;3;Sonnenblumen;30,75;12;1230;410;10,25;110;0,3;1,98;18;;601,2;30;2,28;13,095
18.09.2019;09.09.2019;1;Daikon Rettich;14,6;9;584;584;14,6;50;0,3;0,82;16,4;;984;30;1,12;20,78
18.09.2019;09.09.2019;1;Senf;8,45;9;338;338;8,45;40;0,3;0,544;13,6;;760,56;40;0,844;11,831
18.09.2019;05.09.2019;2;Erbsen;3,7;13;148;74;1,85;150;0,3;2,37;15,8;;61,8;50;2,67;0,105
25.09.2019;09.09.2019;1;Koriander;4,5;16;90;90;4,5;50;0,3;1,59;31,8;;426,6;100;1,89;4,86
;;;;;;;;;;;;;;;;;
25.09.2019;16.09.2019;4;Radieschen rot;24,9;9;996;249;6,225;50;0,3;1,74;34,8;;325,8;30;2,04;7,2975
25.09.2019;16.09.2019;3;Brokkoli;5,85;9;234;78;1,95;30;0,3;0,714;23,8;;145,08;44;1,014;1,911
25.09.2019;14.09.2019;3;Sonnenblumen;25,3;11;1012;337,3333333;8,433333333;110;0,3;1,98;18;;470,4;30;2,28;10,37
25.09.2019;16.09.2019;2;Daikon Rettich;14,25;9;570;285;7,125;50;0,3;0,82;16,4;;445,8;30;1,12;9,5675
27.09.2019;16.09.2019;1;Senf;5,95;11;238;238;5,95;40;0,3;0,544;13,6;;520,56;40;0,844;8,081
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
01.10.2019;16.09.2019;1;Koriander;5;15;100;100;5;50;0,3;1,59;31,8;;486,6;100;1,89;5,61
01.10.2019;22.09.2019;3;Radieschen rot;45,3;9;1812;604;15,1;50;0,3;1,74;34,8;;964,8;30;2,04;20,61
01.10.2019;22.09.2019;2;Brokkoli;8,55;9;342;171;4,275;30;0,3;0,714;23,8;;390,6;44;1,014;5,3985
01.10.2019;19.09.2019;3;Sonnenblumen;38,05;12;1522;507,3333333;12,68333333;110;0,3;1,98;18;;776,4;30;2,28;16,745
01.10.2019;22.09.2019;1;Daikon Rettich;13,75;9;550;550;13,75;50;0,3;0,82;16,4;;922,8;30;1,12;19,505
;;;;;;;;;;;;;;;;;
01.10.2019;18.09.2019;5;Erbsen;16,075;13;643;128,6;3,215;150;0,3;2,37;15,8;;225,6;50;2,67;2,1525
08.10.2019;22.09.2019;1;Koriander;2,1;16;42;42;2,1;50;0,3;1,59;31,8;;138,6;100;1,89;1,26
15.10.2019;30.09.2019;3;Radieschen rot;37,25;15;1490;496,6666667;12,41666667;50;0,3;1,74;34,8;;771,6;30;2,04;16,585
08.10.2019;30.09.2019;2;Brokkoli;3,95;8;158;79;1,975;30;0,3;0,714;23,8;;147,72;44;1,014;1,9485
13.10.2019;26.09.2019;3;Sonnenblumen;43,3;17;1732;577,3333333;14,43333333;110;0,3;1,98;18;;902,4;30;2,28;19,37
13.10.2019;30.09.2019;1;Daikon Rettich;13,2;13;528;528;13,2;50;0,3;0,82;16,4;;883,2;30;1,12;18,68
15.10.2019;30.09.2019;1;Senf;5,8;15;232;232;5,8;40;0,3;0,544;13,6;;506,16;40;0,844;7,856
08.10.2019;24.09.2019;3;Erbsen;10;14;400;133,3333333;3,333333333;150;0,3;2,37;15,8;;239,8;50;2,67;2,33
15.10.2019;26.09.2019;1;Koriander;5,2;19;104;104;5,2;50;0,3;1,59;31,8;;510,6;100;1,89;5,91
;05.10.2019;3;Radieschen rot;0;-43743;;0;0;50;0,3;1,74;34,8;;-122,4;30;2,04;-2,04
15.10.2019;05.10.2019;1;Brokkoli;3,15;10;126;126;3,15;30;0,3;0,714;23,8;;271,8;44;1,014;3,711
;03.10.2019;3;Sonnenblumen;0;-43741;;0;0;110;0,3;1,98;18;;-136,8;30;2,28;-2,28
18.10.2019;05.10.2019;1;Daikon Rettich;16,75;13;670;670;16,75;50;0,3;0,82;16,4;;1138,8;30;1,12;24,005
;05.10.2019;1;Senf;0;-43743;;0;0;40;0,3;0,544;13,6;;-50,64;40;0,844;-0,844
15.10.2019;01.10.2019;2;Erbsen;7,45;14;298;149;3,725;150;0,3;2,37;15,8;;286,8;50;2,67;2,9175
15.10.2019;03.10.2019;1;Koriander;4;12;80;80;4;50;0,3;1,59;31,8;;366,6;100;1,89;4,11
;03.10.2019;1;Koriander;0;;;;0;50;;1,59;31,8;;;100;;
17.10.2019;05.10.2019;1;Brokkoli;4;12;160;160;4;30;0,3;0,714;23,8;;361,56;44;1,014;4,986
;08.10.2019;3;Senf;0;-43746;;0;0;40;;0,544;13,6;;;40;;
17.10.2019;01.10.2019;1;Erbsen;6,1;16;244;244;6,1;150;;2,37;15,8;;;50;;
;;;;;;;;;;;;;;;;;
;06.10.2019;3;Erbsen;0;-43744;;0;0;150;0,3;2,37;15,8;;-160,2;50;2,67;-2,67
;08.10.2019;2;Koriander;0;-43746;;0;0;50;0,3;1,59;31,8;;-113,4;100;1,89;-1,89
;;;;;;;;;;;;;;;;;
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
;;;;0;0;;#DIV/0!;#DIV/0!;0;0,3;0;0;;#DIV/0!;0;0,3;#DIV/0!
