Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2564;Kiel-Holtenau;PM;06.08.2018;06.08.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;08.09.2018;10.09.2018;3;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;13.09.2018;13.09.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;15.09.2018;21.09.2018;7;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;01.10.2018;01.10.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;11.10.2018;15.10.2018;5;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;18.10.2018;18.10.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;20.10.2018;24.10.2018;5;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;PM;04.04.2019;04.04.2019;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;06.08.2018;06.08.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;08.09.2018;09.09.2018;2;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;13.09.2018;13.09.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;15.09.2018;21.09.2018;7;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;12.10.2018;15.10.2018;4;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;18.10.2018;18.10.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;20.10.2018;24.10.2018;5;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FM;04.04.2019;04.04.2019;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;06.08.2018;06.08.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;08.09.2018;09.09.2018;2;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;15.09.2018;21.09.2018;7;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;11.10.2018;11.10.2018;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;13.10.2018;14.10.2018;2;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;17.10.2018;18.10.2018;2;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;20.10.2018;24.10.2018;5;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;04.04.2019;04.04.2019;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;FX;18.09.2019;18.09.2019;1;;eor;                                                                                                                                                     
2564;Kiel-Holtenau;UPM;06.08.2018;06.08.2018;1;;eor;                                                                                                                                                    
2564;Kiel-Holtenau;UPM;08.09.2018;10.09.2018;3;;eor;                                                                                                                                                    
2564;Kiel-Holtenau;UPM;13.09.2018;13.09.2018;1;;eor;                                                                                                                                                    
2564;Kiel-Holtenau;UPM;15.09.2018;21.09.2018;7;;eor;                                                                                                                                                    
2564;Kiel-Holtenau;UPM;01.10.2018;01.10.2018;1;;eor;                                                                                                                                                    
